
⚽体育综合,#genre#
书画频道,http://211.103.180.178:8234/live_hls/hdmi.m3u8
CCTV-5体育,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV-5+体育赛事,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV-16奥林匹克4K,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000
广东体育,https://t.68l.cc/gudou.php?id=1413
广东体育,https://t.68l.cc/gd.php?id=1413
广东体育,http://59.32.98.169:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0

五星体育,https://live.goodiptv.club/api/bestv.php?id=wxtyhd8m/8000000
五星体育,http://39.145.32.119/liveplay-kk.rtxapp.com/live/program/live/wxtyhd8m/8000000/mnf.m3u8
新视觉,http://39.145.32.119/liveplay-kk.rtxapp.com/live/program/live/xsjhd8m/8000000/mnf.m3u8
劲爆体育,http://39.145.32.119/liveplay-kk.rtxapp.com/live/program/live/jbtyhd8m/8000000/mnf.m3u8
魅力足球,http://39.145.32.119/liveplay-kk.rtxapp.com/live/program/live/mlyyhd8m/8000000/mnf.m3u8
五星体育,http://223.111.117.11/liveplay-kk.rtxapp.com/live/program/live/wxtyhd8m/8000000/mnf.m3u8
新视觉,http://223.111.117.11/liveplay-kk.rtxapp.com/live/program/live/xsjhd8m/8000000/mnf.m3u8
劲爆体育,http://223.111.117.11/liveplay-kk.rtxapp.com/live/program/live/jbtyhd8m/8000000/mnf.m3u8
魅力足球,http://223.111.117.11/liveplay-kk.rtxapp.com/live/program/live/mlyyhd8m/8000000/mnf.m3u8



纬来体育,http://cloud.yumixiu768.com/tmp/123.m3u8
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来体育,rtmp://9sv2.mine.nu/sat/tv721
ELEVEN1,rtmp://9sv2.mine.nu/sat/tv731
ELEVEN2,rtmp://9sv2.mine.nu/sat/tv741
爱尔达体育1,rtmp://9sv2.mine.nu/sat/md011
爱尔达体育2,rtmp://9sv2.mine.nu/sat/md021
爱尔达体育3,rtmp://9sv2.mine.nu/sat/md031
爱尔达体育4,rtmp://9sv2.mine.nu/sat/md041
爱尔达体育5,rtmp://9sv2.mine.nu/sat/md051
纬来体育,rtmp://9wv7.mine.nu/sat/tv721
ELEVEN1,rtmp://9wv7.mine.nu/sat/tv731
ELEVEN2,rtmp://9wv7.mine.nu/sat/tv741
爱尔达体育1,rtmp://9wv7.mine.nu/sat/md011
爱尔达体育2,rtmp://9wv7.mine.nu/sat/md021
爱尔达体育3,rtmp://9wv7.mine.nu/sat/md031
爱尔达体育4,rtmp://9wv7.mine.nu/sat/md041
爱尔达体育5,rtmp://9wv7.mine.nu/sat/md051
纬来体育,http://123.51.230.108:18509/http/192.168.1.9:8081/hls/67/809/12_2440494.m3u8
纬来体育,rtmp://119.81.124.89:1935/sat/tv721
ELEVEN1,rtmp://119.81.124.89:1935/sat/tv731
ELEVEN2,rtmp://119.81.124.89:1935/sat/tv741
爱尔达体育1,rtmp://119.81.124.89:1935/sat/md011
爱尔达体育2,rtmp://119.81.124.89:1935/sat/md021
爱尔达体育3,rtmp://119.81.124.89:1935/sat/md031
爱尔达体育4,rtmp://119.81.124.89:1935/sat/md041
爱尔达体育5,rtmp://119.81.124.89:1935/sat/md051

纬来体育,rtmp://219.80.97.77:1935/sat/tv721
ELEVEN1,rtmp://219.80.97.77:1935/sat/tv731
ELEVEN2,rtmp://219.80.97.77:1935/sat/tv741
爱尔达体育1,rtmp://219.80.97.77:1935/sat/md011
爱尔达体育2,rtmp://219.80.97.77:1935/sat/md021
爱尔达体育3,rtmp://219.80.97.77:1935/sat/md031
爱尔达体育4,rtmp://219.80.97.77:1935/sat/md041
爱尔达体育5,rtmp://219.80.97.77:1935/sat/md051
ELEVEN體育1台,http://61.221.81.93:8078/hls/25/80/esport1.m3u8
ELEVEN體育2台,http://61.221.81.93:8078/hls/26/80/esport2.m3u8

🇨🇳央视频道,#genre#
CCTV-1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1综合,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1综合,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1综合,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
